dsp_id	title	artists	isrc	usages	revenue
KOIFubIJlZefxMDMDfTYCbxYltQOTZ	color then	Lisa Woods|Holly Spears|Linda Conrad|Hunter Phillips|Richard Leon	DJCMK7549787	70531	49.6267664875374
QOhIyWlVBFtzLTjtYkCIzbFSXHRrpO	partner staff without	David Bond|Ronald Williams|Brenda Anderson	AOWRG7153518	284618	75.0
TZMYVstMRfMgRqRsyNMlQyAuMqgyoQ	state ever doctor	Robin Ford|Lisa Carson|Matthew Black	OMTEA8750296	803307	5284052618531.0
YdSreGFBYeiOqJhxfmnkefWckXwClN	choose city past all	Haley Oconnell	JOQBS5301977	115124	59472796717022.4
iPNGIQhFJmwuCItToLomAWjSCfMLvH	say away ground hand	Michelle Martin|Barry Wilson	GWCUH4475024	745627	73.2722321
RMKSWEJOyBnzOkgpCEJfwIJJTwbjfH	forget start need	Kimberly Jenkins|Todd Holloway|William Hicks	MWXVH7239357	812288	626868096187550.0
huKwQLlzEzXdzaVrZDfCutfGqQtvEv	final manage will	Shawna Medina|Sheena Stanley|Amy Duncan	BOASR5089077	109011	234557237976097.0
KIhzdISxQZDsEVpVtKWqpoCxZOvkBI	network since most	Susan Schmidt	LAPHS1593951	823517	331.0
fwNQcbYmErGPmjvgaHDTFeBopnLfJd	character impact buy	Kevin Ortega|Sarah Jackson|Brandon Williams		185470	7791859.526
KiXXYjMMhENKgyfppTswYJoQxMbqUa	weight first		TOSAR9247259	968441	67288034386.2
qnQAFefHqMRGUhKzWyJTRuLLCINCXR	will analysis	Leonard Smith|Kim Rivera|Joyce Wilson	CFBFE0797763	42490	67268712802.0
BTULeVurHZvWtUosZWRFpJWeIOnBIy	physical financial another draw	Dana Castillo|Isaac Smith|Franklin Harris|David White	PTUUP7618029	120198	2103320.28
khUkStKUojwBMESDQOTpeZoMFHkPuB	against which car move	Toni Larsen|Sharon Mccarthy|Natalie Gonzalez	TNDEP6435203	213844	513094.9204
VehhfMyrvbuOdxFqdmObRcBjgfNBxj	baby enter	Richard Ayers|Linda Johnson|Jordan Ortega	ATUEF4689303	3916	53825830519842.0
