dsp_id	title	artists	isrc	usages	revenue
myqPijzZEIVtXiqcCFXmgQTQiGKtaQ	between life want actually	Andrew Wheeler|Chelsea Green|Thomas Frazier	FIOIP9386507	995444	43.17396825605
lUyzzKTthKorykDtBEwCmUBpydibUA	book season hot	Kevin Fowler|Derrick Wilson	MDEYW2473922	747793	7659.87234
HvePBSAkvjcLOePWoXtDkJlhKNfUxp	rate although sometimes	Erin Nguyen	KZTFI6115259	521921	664766.5
OwdHJNePxRccjjqpRsdRiQSiZoCJyP	experience operation	Mrs. Michelle Bowen|Zachary Ruiz	NAXYQ3435631	743598	783864304943591.0
fqWKQZkKYpbUJiCCAslFFAnNZBWFWu	almost bad share	Jason Spears|Jennifer Williams|Stephanie Freeman	IDZLU6174862	806924	294136.0
BbpdjiQnYZTUgNcMgQtcNIOYXfoSSq	project author middle	Natalie Gallagher|Sue Perry|Melanie Poole|Nicole Johnson|Geoffrey Torres		460056	2648709679704.0
ecaYwWUqnRQcarEbTsvtNuWfTAxTsG	among three company	Rodney Williams|Douglas Dalton|Brandon Myers|Julie Hopkins|Alexander Sharp	TLTUM8442915	553001	96583863603455.0
bbCEzpEnBnrnVQmCUejWGosWNwxdLn	increase never Republican		AMMHA3517086	439430	1635517639.75067
sTjpEWODYFTbLePerfFNTiVGHosBBc	down natural house	Catherine Munoz	BBWQE8607102	872930	326.85029
zYIOIlkBcWKlzMHnWfQUzeskewfzZU	impact option over teach	Jessica Ford|Jennifer Kelly|Martha Weeks|Lisa Petersen	BBZMI8641002	830380	387.433271
feAZOCrRnxjytiegcZQqjwtLszFXXd	set establish play member	Lance Jackson|Laura Mullen|Crystal Alexander|Crystal Hansen|Michele Norris		956906	3452.61490299391
ScuDxWxCOGDOYBAabRcEhYYarTZXUF	better myself second people	Shawn Foster|Debra Moore|Adam Rush|Donald James|Betty Bates	RWAHJ4520563	36572	7.24
VsgAQwNtxfjNXYpWwrjSQTfTViMfwa	treatment hard most wait	Ernest Lawrence	TDHMO9778171	347238	43592667076240.0
bAXoNLeKPztBidZhFWznXJSYSVAgYn	prepare factor probably beat	Alicia Sherman|Corey Eaton|Megan Smith|Chloe Bryant|Ashley Berger		765207	657696101226149.0
QhzIWfvwQJMCOOsixRCFDoMvmKdbZw	important chance stand go	Linda Williams|Michael Robinson	BHMGJ5915284	484684	465425451779.0
csBYIWjUyUcXKvbonlfukWsVyrkcqm	whole away conference	Erin Stewart|Katie Thomas|Robert Cook|Adam Norris	MNALQ9824864	740388	59155190.551919
OytSaPGKOxchPqZSsXIKGPVGYlrDum	central way whatever industry	Christine Craig	AZHZU7913543	714078	3.925723
ewNQpJCobBbJaQIZSmIZPTgxQkYGbO	weight such teach	Deborah Garner		472452	26.32
QiImbfXpjmKgQKSZlckujTCOpnHeDR	again recently	James Hill|Kristina Johnson|Douglas Wells|Faith Foley	MHTXU2490603		7362023.9
sNgNnMvgxTaacHGNxFKvgEynXUZPqo	meet wish concern	James Jackson|Kim Barron|Gregory Torres	UGOSF1737221	618167	59.7459324
GODuAiDnVxJjJjGqhAsJPjKezjjEHR	current decide adult	Mary Green|Robert Hamilton|Jacob Cole II|Tim Reese	ZAEQJ8812515	402939	945388390804.0
dGhDGRRHyzXGMjZCkazlnCicdYHobu	old whose degree	David Smith|Justin Myers	GEXVT9562830	225669	9972081.721354
nmOKoAFMhzHoJfejDFGwBzrOtCXNgP	party chance subject safe	Alec Davis|Donald Newton|April Butler|Lisa Hunter|Laura Thomas	LUKNP8404060	732811	29027385010310.4
