dsp_id	title	artists	isrc	usages	revenue
dhWNHXbrwcevrzsqtbcFiUWTAUmJKh	yes himself heart	Sharon Mitchell|Karen Russo|Melissa Myers|Colin Duke|Randy Gentry	MEWIT9877931	989238	7854724571825.0
PrIMoepSvpCgDjSeEcLbkcQNpRchcY	perhaps take blood provide	Kathleen Taylor|Gina Garcia|Christopher Shaw|Kevin Mcconnell	PYFNO9629546	308768	7178072.4
FqtIdaKbPSzkxaGIKzTpDhnVvdFDpc	commercial production free small	Heidi Johnson	ZAZAA0975225	243929	4817110254750.5
UqzeqXngqIylhydQxPXSrvKZhcBgYR	specific condition	Laura Fletcher|Scott Nguyen|Patricia Swanson	ATHPD7339168	937493	12629.2265224
gimfYApCRjhlOBmiPBfrXBuCFhJhDW	maybe race table	Joshua Brown	MVQAP1786559	891316	311625.224
XbzVsEdGRfdtVBiXOpVetEeRjxycxB	tax present boy	Regina Williams|Ann Owen|David Kent|Linda Hall		54519	875661798.484
zQIlyCbHElqnCILVaFmaaLTmoNBcCt	unit measure away direction	Karen Jenkins|Kelly Webster|Debra Armstrong|Gregory Jackson	UAIBV9002892	448033	489.482806079733
MCfpfRlEPUyiUvyKAAXCvjaeyvLVmt	movie simply cut add	Andrew Douglas|David Herring|Andrew Clark|Jeffrey Mcdonald|Nathan Flynn	KHDIF8393673		837882879797.27
WQgtNOVfmOaQWqumyvErEfqMFylzmZ	participant thank	Ashlee Wheeler|Adam Davis	GBZCP8085349	501358	
isVQoBzBTduUaeRVIZZvJFxlnULRuY	worry fall fish assume	Richard Leach|Chelsea Burns|Susan Stafford|Edward Daniels	KGPBR3254315	920102	4688897839549.41
fvhQNTsmEOClkPNgbSQNzsLMcnjKRU	man leader arm	Christopher Green|Ebony Rodriguez	TVGBY0333320	327573	2.811
CoQPRlYYRnoiVjZtLhyZSbLgFhBwqc	follow ball	Jennifer Neal|Eric Scott|Mark Moreno	BWQBH2694416	149412	237858431401.561
GipbVdJphOGIpxSCAwGWfyuFyqORHJ	piece herself	Bianca Boyd|Sharon Jackson|Eric Wagner|Jesse Fitzgerald|Mary Daniels	GQLWN4435412	712419	2.31
JKyHxDHdsKDQSVWhQVKxAbdmwCZPdv	yeah them	Peter Soto	BSAYW4324884	368208	227.4669
QJHlmDtXTEZUNhVOpblwDJGwLVzkva		Pamela Hayes|Shannon Smith	HUWDB3284600	33168	440.3069188
IWcafULRkxwqBXzUrVKvaHqZToOzXj		Karina Bates|Raymond Townsend|Connie Perez	OMAQQ9890568	121218	3266242.25
ABuyexiiLmLgPSDzjYFsFTiqIivDaj	itself church fly	Zachary Montgomery|Gary Soto|Julia Hatfield|John Everett	ADTDY6152886	545691	1387756831.88
VUYBTxZKPrjrWUKBMHtAMCmzTXhXkS	discover sit	Jeffrey Young	ESNOK7320184	608207	72895422.6
paHYdNfxcGbriRwgPovxITojOhNKMI	public order movement trial	Ashley Smith	EGXSU9893255	524016	771529319492.0
VeNWOwHbePqNxMgJpMVsqbWinDVQRE	past help fight wonder	Dr. William Williams|Joe Bailey|Ricky Freeman|Jason Fisher	AUKLL6137242	958716	729.85578309841
IbHCaRVlqAmpLlNJrVeVRjWbIULFck	southern meeting	Elizabeth James	MDQDP6436947	12283	13877596.15
HqJlIQeBCRoHVMAghnVlHbRnMzLLOh	hour interview thus	Mark Hughes|Nathan Cannon|Chad Hernandez|Kimberly Rangel|Michael Alvarez	KZPGE9616221	751933	1143.30313389
mjNcHQUDHMphMlbClxvhoQwtGQGuRG	worry officer	Crystal Gay|Hector Hernandez|Mary Jones|Michael Thompson	NZRFK4031659	786294	3782344153.0
qLVUiyyPNAaOEmPCBHmdSMlrvXOpkf	property professor	Michele Saunders|Mark Anderson|Dean Hobbs|Roger Hart|Joseph Vasquez	VUYQA2293847	679264	62.1
fNgyDArPMEqTOaDihxlTtRXShAWcxv	notice first	Jeff Moore|Michelle White|Mr. Kevin Johnson|Angela Taylor|Mark Smith	GNQMF5659893	685548	8848.83119183361
KwAXhhXjkJwIrIPAjvLCvgsIsvbQAW	simply point only	Amber Carter	KEAFN1467172	10932	1642657717175.19
bhPaGWutmfuqDPGaJLVVkJErTazmiP	color certain enjoy	Stephanie Nguyen	AMDUZ9539963	384405	3014589913746.76
jQSltzVdFXdFuueGpUGLUsUOoYFPIa	still American head one	Michelle Scott|Leroy Lara	MGEGI4919606	476353	782.4
MfptHWAEJHoFejopXdMfzGGwvgLNMJ	similar run	Kristine Fields|Adam Pacheco|Laura Watkins	BWSBP0993850	444386	676917674.0
rrfoCBsnhebHFgaMAJMKDzJJCQZIPL	national risk	Dr. Walter Underwood	CYHBG3061825	482623	27.396083155
SQZeuNlswZjIMVSQZdKHzTCpdRMVvV	live skill long southern	Eric Mendez|James Morris|Christy Mcguire|Julia Wheeler|Julie Bryan	CLRNV0857371	953428	592198929.4
cJkJkCoyaGRXFeJCFtFQvaafcbuecN	agency couple	Shane Vaughn|Michael Davis|Stephanie Sullivan|Jacqueline Arias	AZGJO7699973	345680	17388172.0
hdhVXTGdbRDpyegsFFUhyXUSyuZFLK	cultural production recently	Eric Johnson|Michael Gonzalez|Ricky Nelson	TLIHO4521755	975066	6289.872326
DjtzcHxIUhPbmPcCdSnmpuvFKWVoci		Bryan Murray|Robert Rivas|Carolyn Duarte|Kevin Randolph|Gary Mcclain	TVDBL7315087	804830	8014348.188
qZwMoSjqluGXNyqCHmZrIoGXDUhgOj	season once assume	Thomas Thompson|Casey Bonilla|Charles Martin	RWKZS8609307	718318	148952091.373
zKIVZemkaBsaQgYiMYxyetOCESHFXr	lay else	Stephanie Jimenez|Tanya Garner	PEBTQ0506612	297138	887947666.0
gpFVLhHdgnDKwSxUErExHhctdRJpNJ	we character	Toni Moreno	BDLQX5127455	33207	30471139902.0
fzzUnrtVboqZVfWZjtvIDkgnUwtUqH	next trial will civil	Mary Owens|Kyle Woods|Jessica Martin|Misty Reed	GMUTT4545698	938305	995649835527061.0
sIzeLBaMxBunBsEGVPOCRxZOsKcPBE	foot together suddenly	Tina Estrada|Katherine Dickson|Mark Garza|Ryan Silva|Tyler Peterson	ALFUV6781038	15847	5049487481227.7
ZDVftgAHzKuFVVhqfbVQmepoMPywwX	professional program suggest	Summer Crosby|Melinda Davis|Karen Cole|Betty Smith MD|Perry Roberts	CLJIQ7846074	472891	596610.66987
CQNyFNczDIxunpdiLBPisInDVLGwhi	through sense	Tyler Smith|Brittany Nelson|Richard Landry|Austin Chen|Carl Shelton		529906	2783113085.89
vecGjxQmIpiSnknvmgSyctDnGePFAV	whether read	Mark Thompson|Maria Torres|Mark Brown|Morgan Garrett	NRFFK4971322	716731	41269.82
RnoOKmbtGqSXOoleUtMcaOzPsGIeYG		Linda Hughes|Richard Munoz|Lance Chavez	SIVDJ4267580	351821	788755313.46089
GWWqBmZfXtJgJhRTWuFPROHFtFVVKQ	head add provide perform	Tyler Tucker		520992	151914640589.87
rXOPiBHqyFuWaMbzqFlIchBttddDiC	through magazine	Amanda Watson|Destiny Martinez|Craig Stewart	BNFGM3432082	349455	248554746859.3
QRbPTTzWpwtlDAwHvpvIHINqZEWKoZ	race particular happen never		IEXYI9947207	700102	126523.158048
EeuAABnaIZSlcRMAunhSdvYuRwtOQa	take south young	Vincent Villegas|Kim Cooper	CRSZL3735299	152259	86840258019663.0
fqgtWnsPSikZpYoiAVppWolysShuwP	remain hotel field nature	Cindy Dennis|Anne Reilly|Luis Williams	TLPSJ2544746	60833	10127367962.0
qcgIvZOFMQlpVuCFBXiReVckrcSVAd	contain make daughter week	Joseph Murray|Bethany Parker|Crystal Robinson|Lori Parker	BESUY6246853	98277	581617.0
ASEHlsAygNCXfCiYefHEdMTfRXLSIJ	long leave art	Rachael Ayers|Jacqueline Marshall|Richard Hendrix|Shane Bryan	CRZQT5015531	377433	8887114643.6859
vkCvIRWleniqmUQszHTKgkudqapUoj	five east experience friend		MZQBE5718604	153632	92809748.39713
mKVJzpmddfZzkAeWFJPNcelGquTAsC	more wonder crime	Lisa Mendez	UZWID4870582	290077	297032514575746.0
FpZcNJdzYIRkbZJjUHGzlsxQPbqOXY	organization money	Scott Collins|Joseph Gonzalez|Dana Powell|Elizabeth Hodges|Michelle Michael	ETTEF4148619	765835	726647.3
hBQoRoDFPlryoEbunljpVUIUGeIHTW	nice oil	Nancy Anderson|Thomas Sullivan|Valerie Hudson	SINIH6331058	69849	907162071998.5
CxvIVWbElZoEvdBIfpDjrsADqzVwBM	step economy	Jacqueline Snyder	JPYRH6039480	692116	0.82
XrApghZaOerCzvtSAPZqptlcINUKCe	course poor	Kristie Collins|Debra Oneal	KPOYM0941093	65144	6492883537475.47
gQfjJvbKAoetnTUpFKdSHaXZyHvuIl	may ability various court	Mary Hunter|Robert Roberts|Christopher May|Olivia Mosley|Diane Warner	SZRIE8834125	492376	648608930741197.0
NOBXYPUgCZCtHIMaoMgLoSNfSONHjU	against time		TTITW1566809	979531	64281637516311.0
vBiypEKbduyEKhTmMYHOUdHmzlMtph	along during	Abigail Lowery|Brian Reed|Tracy Young	ERKIQ9724622	125987	21525535.7327
IBZlahIEfrnIAuWMmQmbdBsUEvjrWD	suddenly fine free then	Rachel Wallace|Shane Schmidt	VAIDR0128979	85666	1500.9545
OdHuWEduxVZPlQZXgidCkjcphYWill	crime production whose		BZERP5432175	544546	37.675557563556
JhwbvnnnphiIBhYPohhQGTXxpgyUdz	condition turn	Christy Garcia|Ashley Hernandez|Bonnie Scott	NLAUP0824426	735268	42002270869998.0
KlcgIlJWzRrCXpgJruyxFqVwiawZko	college some	John Hatfield|Micheal Webster|Wendy Smith|Tyler Davis	ALNRA4443850	786400	6.334
gYhFGaxzmEPEZFEoiuYQuPvfKJebTg	friend language reality recent	Benjamin Herrera|Justin Manning|Carrie Henry|Nicole Hood MD|Luis Shaffer	PKHWD7233203	196587	2591732180.0
eyfZOVcJEnuMMdxwKjSHdSrrpwbrKO		Laura West|Jamie Keith|Karen Olsen|Jeffrey Ruiz	VAWKX5147591	316670	6123040.1
kCFSNdvzkGFZMifVicRxJuXHSODsce	take ever list	Anthony Rodriguez	ECKWJ4891994	731628	385414177.9
LSShXNLJuSBxUWwCJYWvBBDgKvHuHB	together with	Alexandra Hunter	UZCJZ3546170	492626	79853684621.0
yelwgsbdksfAUuwZAMSDkXLnoTdWdh	world true himself	Angela Smith|Julie Bowman	QAODM1982798	242133	6784776505.3545
GuStMJNmhgGbXDbiABbZQUWzTrXJbi	attack PM manage campaign	Yesenia Whitney|Marc Dunlap Jr.	LKCYT4484737	553905	212320.892389
WmmLCoAoPXyuFypFiaCduIRtUGPZcO	still might every	Carla Mason	BSATZ5160555	935185	918082618737.35
TVrJiUbMkHdWcirDoHwtSVPRcYGgEr	last cost food	Monica Roberson|David Mccarthy|Cindy Mason|Gerald Moses|Cynthia Johnston	MUTLA7865758	683076	505789.3114
NuLTYcVgsFtWrfvugQmfJkyiFKvghg		Ashley Maxwell|Bradley Fowler|Kayla Matthews|Amy Melendez|Amanda Rogers	BSPIK7953877	740211	4.88
yjkUSvnAEDcfrALruLLxjvgtJxTiSW	argue while	William Bell|Briana Thomas	SOVCH0440524	58964	3526912783.905
aaRrSdbUPjinByVlTEEnCpJUHociYQ	woman want future national	Andrew Miller|Eric Grant|Peter Scott|Jennifer Alexander	SZTNV2031753	182148	1821966.12628
hiYtlzNUZZmIPJHPmboAeBMQPifFlb	leave of history treat	Richard Becker|John Sweeney	CFWKT9243036	137882	426210801.51565
idAXmXnipaeHEDwqXrgttKeTLaTWNj	box laugh nature	Caitlin Long|Diane Lee|Christopher Sparks|Mark Thomas	SAFWO7341921	599700	9220849674.0
wcftQmUNSmqVsZgHFJatLvPrFeVpPI	look political	Jeremy Palmer	HTEMT4904896	622200	525488748420494.0
QIshGWmnyKQpscmmFDNMyLMGqcBTVL	goal other many	Keith Carroll|Todd Cook	IEJEX7515616	537853	7664804.907
CROfoiLfrSGYaojIZzmjZXgyhhHKXj	just attention	Tony Edwards|Chad Hickman	KMXBQ9101695	89955	194684265909908.0
lqsoECXymReXmdnxsUFYOjLtMWfjbm	open rule entire anyone	Charles Wood|Janet Berger	NPLQQ9782824	72186	2743783954.20691
mzPulFHUqfakiaBdaKCHmaXMAlspQC	north fine blue	Kyle Vance|Brian Ruiz|Heather White	MZMLD2783294	40548	48113725379074.0
UqNWYAXqWTfXFwJHfNKXojimJcxhIp	issue yes notice up	Ian Brown|Jacob Turner|John Curtis|Brittany Wilson	GWSWG0544404	272460	699959343593.0
jSYNWSwriwXHlsSvUdyIUUYPOfCzwC	she it	Patricia Moore|Rebecca Austin|Cassandra Barrett|Heather Cunningham	NIVJQ1943633	393711	44.2935224
owHLsnoDGXjVaRJZGOTMMPmhHNTnAu	front home large	Julie Watts	TMQHM6556918	166622	2779303952.1677
OKhzXzbsbOFVuwgHKtDQXUpMQvcMbu	book health impact seek	Christopher Moreno|Johnny Logan|Jason Johnson|Kaitlyn Jones|Sarah Smith	DZVGS1220516	875330	8387.2573126519
lJtvjZfTbFTBBOPNNObLpkZGykVcOR	better growth	Jason Carr|Theresa Ramirez|Tonya Brown	AOOIQ5254943	864287	
nflnVwpSwIwoQGbqAPoDlzoqFzMrfZ		Tiffany Brown	MRUUQ9408229	80230	73037835.55
